district_code,school_type,name,attendance_rate,attend_college,artcourse,avgclass_size,African.American,Asian,Hispanic,White,Native.American,pacific_islander,multi_race,Males,Females,nonbinary,grade9_passrate,expenditure,notnativespeaker,englishlearner,highneed,disability,econdisadv,teacher_retained,teacher_license,masscore_complete,sat_verbal,sat_math
10000,0,Abington,94.5,85.2,85.07984032,21.1,4.8,2.5,10.9,79.2,0.6,0.1,1.9,50.4,49.6,0,77.3,13461.03,14.1,7.7,41.4,15.8,29.7,88.5,99.7,99.1,533,539
50000,0,Agawam,95,78.1,85.85572843,14.8,2.1,3.3,10.4,80.9,0,0,3.2,51.6,48.4,0,80.1,15902.26,12.2,5,46.3,17.1,34.9,89.4,100,85.3,558,561
70000,0,Amesbury,95.3,70.5,79.59081836,16.3,2.2,1.2,9.9,82.3,0.2,0.1,4.2,53,47,0.1,86.5,15644.74,4,2.1,42,22.2,28.3,88.6,98.8,100,572,574
90000,0,Andover,96,87.6,89.68092329,17.8,2.7,19.2,7.7,66.6,0.1,0.1,3.6,50.2,49.7,0.1,98.1,16876.47,17.3,3.1,31.8,20.4,9.8,90.9,100,100,604,624
100000,0,Arlington,95.5,82.9,88.09038396,18.2,3.4,13.1,6.2,69.9,0.1,0.1,7.3,50.3,49.5,0.1,94.3,13390.02,11.9,4.1,26.4,15.7,9.1,87.8,99.4,100,610,608
140000,0,Ashland,95.7,85.3,88.17359855,19.5,2.9,16.3,13.6,63.4,0.4,0,3.4,51.7,48.3,0,96.5,13571.33,27.6,6,34.9,17.3,17.8,89.8,100,84.8,570,607
160000,0,Attleboro,95,68.2,86.18012422,21.2,6.8,4.6,15.6,66.4,0.2,0.1,6.4,52.7,47.3,0,83.3,13296.41,14.2,5.9,46,17.5,33,93.4,99.2,79.4,549,542
170000,0,Auburn,95.3,81,90.8912446,18.9,2.5,4.6,9.5,80.1,0.1,0,3.2,49.8,50.2,0,85.1,13267.85,9.1,2.2,32.3,10.8,22.2,89.7,100,90.8,564,547
180000,0,Avon,95.1,82,94.64788732,13,29.4,4.5,12.6,46.3,0.6,0,6.6,52.1,47.9,0,70.7,15924.75,9.1,4.8,49.6,19.9,36.3,94.1,100,100,519,510
200000,0,Barnstable,94.6,78.2,84.52051882,16.5,8.3,2.1,20.1,62.2,0.4,0.1,6.9,51.8,48.1,0.1,80.6,16111.07,25.5,12.8,57.5,17.6,41.9,89.4,99.4,81.3,557,551
