District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Abby Kelley Foster Charter Public (District),04450000,     116,     112,     119,     115,     115,     118,     120,     113,     118,     109,      70,      51,      78,"   1,354","       1,421"
Abington,00010000,     153,     145,     164,     131,     169,     162,     162,     188,     171,      87,      54,      59,      60,"   1,705","       2,004"
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,      80,      79,      76,      73,      73,      60,      36,      36,     513,         535
Acton-Boxborough,06000000,     334,     368,     359,     391,     408,     428,     426,     406,     475,     286,     219,     101,     126,"   4,327","       5,481"
Acushnet,00030000,     123,     107,      79,     109,     107,     101,     105,     123,     109,,,,,     963,         968
Adams-Cheshire,06030000,      74,      77,      79,      75,     104,     108,      99,      92,      85,      39,      26,      52,      56,     966,"       1,087"
Advanced Math and Science Academy Charter (District),04300000,,,,,,,     104,     138,     153,     151,     105,      44,      70,     765,         970
Agawam,00050000,     240,     236,     290,     252,     262,     315,     267,     274,     293,     187,     139,     114,     166,"   3,035","       3,535"
Alma del Mar Charter School (District),04090000,      52,      53,      52,      50,      49,      50,      49,      45,      39,,,,,     439,         439
Amesbury,00070000,       0,     143,     141,     158,     181,     159,     153,     163,     155,      52,      90,     100,     100,"   1,595","       2,004"
Amherst,00080000,     151,     135,     144,     158,     148,     170,     164,,,,,,,"   1,070","       1,070"
Amherst-Pelham,06050000,,,,,,,,     224,     197,     165,     166,     168,     161,"   1,081","       1,352"
Andover,00090000,     410,     394,     421,     454,     458,     479,     487,     511,     503,     346,     328,     214,     279,"   5,284","       5,892"
Argosy Collegiate Charter School (District),35090000,,,,,,,     114,     107,     104,      18,      22,,,     365,         481
Arlington,00100000,     597,     520,     546,     498,     514,     489,     461,     443,     416,     248,     210,     108,     135,"   5,185","       5,886"
Ashburnham-Westminster,06100000,     180,     158,     163,     172,     182,     196,     187,     183,     200,      83,      86,      67,      53,"   1,910","       2,284"
Ashland,00140000,     228,     197,     229,     191,     224,     221,     221,     217,     189,     172,     138,     114,      97,"   2,438","       2,765"
Assabet Valley Regional Vocational Technical,08010000,,,,,,,,,,      91,      64,     141,     132,     428,"       1,133"
Athol-Royalston,06150000,     127,     139,     130,     121,     111,     121,     120,     119,      95,      28,      28,      40,      44,"   1,223","       1,422"
Atlantis Charter (District),04910000,     110,     110,     109,     111,     110,     110,     109,     110,     108,       0,       0,       6,      18,"   1,011","       1,282"
Attleboro,00160000,     407,     410,     428,     466,     430,     457,     469,     472,     424,     279,     269,     222,     262,"   4,995","       5,796"
Auburn,00170000,     190,     172,     209,     203,     204,     208,     190,     196,     207,     124,     134,     128,     150,"   2,315","       2,547"
Avon,00180000,      45,      53,      54,      60,      54,      56,      64,      57,      61,      48,      33,      40,      47,     672,         710
Ayer Shirley School District,06160000,     137,     137,     140,     136,     147,     142,     151,     130,     143,      65,      89,      86,      87,"   1,590","       1,652"
Barnstable,00200000,     307,     326,     309,     334,     420,     404,     376,     380,     322,     234,     215,     167,     181,"   3,975","       4,703"
Barnstable Community Horace Mann Charter Public (District),04270000,      71,      82,      65,      68,,,,,,,,,,     286,         286
Baystate Academy Charter Public School (District),35020000,,,,,,,      55,      60,      72,      62,      21,      20,       8,     298,         493
Bedford,00230000,       0,     213,     195,     202,     213,     201,     200,     175,     188,     215,     131,     124,     113,"   2,170","       2,624"
Belchertown,00240000,     134,     169,     158,     158,     169,     174,     190,     182,     193,      76,      82,      74,     112,"   1,871","       2,234"
Bellingham,00250000,     154,     162,     170,     144,     172,     189,     163,     182,     160,      94,     108,      80,     111,"   1,889","       2,133"
Belmont,00260000,     341,     367,     384,     354,     399,     371,     365,     364,     335,     312,     193,     134,     195,"   4,114","       4,597"
Benjamin Banneker Charter Public (District),04200000,      42,      49,      50,      48,      47,      40,      47,,,,,,,     323,         323
Benjamin Franklin Classical Charter Public (District),04470000,      52,      51,      52,      51,      51,      52,      53,      52,      46,,,,,     460,         460
Bentley Academy Charter School (District),35110000,      58,      62,      62,      57,      57,      36,,,,,,,,     332,         332
Berkley,00270000,      79,      80,      91,      95,      86,     114,      92,      96,      97,,,,,     830,         830
Berkshire Arts and Technology Charter Public (District),04140000,,,,,,,      39,      70,      71,      52,      35,      23,      17,     307,         369
Berkshire Hills,06180000,      76,      55,      50,      71,      60,      73,      83,      73,      99,     121,      88,      53,      61,     963,"       1,181"
Berlin,00280000,      22,      30,      30,      35,      21,      30,,,,,,,,     168,         168
Berlin-Boylston,06200000,,,,,,,      81,      83,      68,      49,      39,      37,      37,     394,         580
Beverly,00300000,     366,     357,     352,     352,     373,     401,     355,     321,     335,     348,     286,     230,     221,"   4,297","       4,490"
Billerica,00310000,     359,     369,     360,     414,     373,     386,     381,     395,     382,     242,     157,     167,     167,"   4,152","       4,607"
Blackstone Valley Regional Vocational Technical,08050000,,,,,,,,,,      67,      74,     142,     177,     460,"       1,228"
Blackstone-Millville,06220000,     124,     125,     121,     164,     131,     136,     148,     118,     131,      76,      55,      71,      81,"   1,481","       1,663"
Blue Hills Regional Vocational Technical,08060000,,,,,,,,,,      29,      24,     102,      91,     246,         851
Boston,00350000,"   3,771","   3,598","   3,552","   3,420","   3,798","   3,357","   2,686","   2,656","   2,625","   1,028",     879,"   1,007","   1,401","  33,778","      48,783"
Boston Collegiate Charter (District),04490000,,,,,,      98,      96,       5,      31,      70,      81,      28,      24,     433,         701
