District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),04450000,  97.1,   3.1,   5.7,   3.5,   5.7
Abington,00010000,  94.5,   6.1,  17.9,  12.7,   5.8
Academy Of the Pacific Rim Charter Public (District),04120000,  94.6,   5.9,  20.2,  14.9,   0.0
Acton-Boxborough,06000000,  96.2,   4.1,   9.1,   7.6,   0.0
Acushnet,00030000,  95.8,   4.8,  11.5,   7.3,   6.2
Advanced Math and Science Academy Charter (District),04300000,  96.1,   4.2,  10.1,   7.6,   3.5
Agawam,00050000,  95.0,   5.2,  13.3,  11.7,   6.1
Alma del Mar Charter School (District),04090000,  95.9,   4.6,  11.5,   6.5,   1.8
Amesbury,00070000,  95.3,   5.1,  13.2,  11.2,   3.9
Amherst,00080000,  96.4,   3.7,   6.5,   5.4,   0.5
Amherst-Pelham,06050000,  94.8,   5.5,  14.7,  12.4,   5.3
Andover,00090000,  96.0,   4.4,   9.5,   7.9,   1.4
Argosy Collegiate Charter School (District),35090000,  94.6,   6.1,  20.5,  15.0,  11.2
Arlington,00100000,  95.5,   4.9,  12.0,  10.0,   0.0
Ashburnham-Westminster,06100000,  96.0,   4.3,   8.3,   6.8,   5.8
Ashland,00140000,  95.7,   4.6,  11.5,   9.1,   1.6
Assabet Valley Regional Vocational Technical,08010000,  95.4,   5.1,  13.3,  10.6,   7.3
Athol-Royalston,06150000,  93.6,   6.6,  20.4,  19.2,  12.0
Atlantis Charter (District),04910000,  94.1,   6.6,  21.6,  15.7,  12.1
Attleboro,00160000,  95.0,   5.4,  16.0,  11.7,   8.3
Auburn,00170000,  95.3,   5.1,  13.0,  10.2,   0.0
Avon,00180000,  95.1,   5.4,  13.9,  10.1,   8.2
Ayer Shirley School District,06160000,  95.2,   5.2,  14.1,  12.0,   7.3
Barnstable,00200000,  94.6,   5.6,  16.7,  15.2,   9.8
Baystate Academy Charter Public School (District),35020000,  94.4,   6.0,  18.8,  13.1,   0.0
Bedford,00230000,  96.0,   4.3,  10.2,   8.8,   1.0
Belchertown,00240000,  95.0,   5.4,  14.1,  11.8,   6.9
Bellingham,00250000,  94.9,   5.4,  14.8,  13.6,   8.3
Belmont,00260000,  96.5,   3.8,   8.5,   6.9,   1.4
Benjamin Banneker Charter Public (District),04200000,  96.1,   4.3,  10.6,   6.8,   0.0
Benjamin Franklin Classical Charter Public (District),04470000,  96.0,   4.2,   8.5,   6.2,   8.5
Bentley Academy Charter School (District),35110000,  94.8,   6.0,  17.7,  13.8,  10.2
Berkley,00270000,  95.7,   4.7,  10.8,   8.2,   6.9
Berkshire Arts and Technology Charter Public (District),04140000,  94.5,   6.2,  21.8,  17.0,  15.1
Berkshire Hills,06180000,  94.3,   6.2,  20.0,  16.8,   4.1
Berlin-Boylston,06200000,  96.1,   4.1,   9.4,   8.1,   0.0
Beverly,00300000,  95.0,   5.2,  13.5,  11.9,   7.2
Billerica,00310000,  95.9,   4.3,   9.9,   8.0,   5.1
Blackstone Valley Regional Vocational Technical,08050000,  96.3,   4.4,   9.5,   6.2,   1.7
Blackstone-Millville,06220000,  95.0,   5.4,  13.6,  11.9,   6.3
Blue Hills Regional Vocational Technical,08060000,  95.4,   5.0,  11.1,   8.2,  11.1
Boston,00350000,  92.9,   7.4,  22.8,  21.1,  14.7
Boston Collegiate Charter (District),04490000,  95.5,   4.9,  12.1,   8.3,   3.6
Boston Day and Evening Academy Charter (District),04240000,  52.4,  42.6,  91.7,  93.4,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,  91.0,   9.5,  32.8,  30.4,  26.4
Boston Preparatory Charter Public (District),04160000,  93.0,   7.8,  27.1,  22.2,  21.0
Boston Renaissance Charter Public (District),04810000,  94.5,   5.8,  19.9,  17.5,   0.0
Bourne,00360000,  94.7,   5.9,  15.8,  11.0,   7.1
Boxford,00380000,  96.1,   4.3,   8.0,   4.3,   8.0
Braintree,00400000,  95.9,   4.4,  10.8,   9.5,   0.0
Brewster,00410000,  95.4,   4.9,  11.8,  10.1,   1.5
Bridge Boston Charter School (District),04170000,  95.0,   5.5,  17.3,  13.0,  10.1
Bridgewater-Raynham,06250000,  96.6,   3.7,   8.8,   5.5,   1.0
Brimfield,00430000,  95.6,   4.7,  14.0,   9.2,  14.0
