District Name,District Code,# Grade Nine Students,# Passing All Courses,% Passing All Courses
Abby Kelley Foster Charter Public (District),04450000,         109,         102,  93.6
Abington,00010000,         163,         126,  77.3
Academy Of the Pacific Rim Charter Public (District),04120000,          73,          63,  86.3
Acton-Boxborough,06000000,         461,         451,  97.8
Adams-Cheshire,06030000,          77,          61,  79.2
Advanced Math and Science Academy Charter (District),04300000,         159,         153,  96.2
Agawam,00050000,         256,         205,  80.1
Amesbury,00070000,         148,         128,  86.5
Amherst-Pelham,06050000,         234,         198,  84.6
Andover,00090000,         430,         422,  98.1
Argosy Collegiate Charter School (District),35090000,         121,          57,  47.1
Arlington,00100000,         366,         345,  94.3
Ashburnham-Westminster,06100000,         148,         136,  91.9
Ashland,00140000,         228,         220,  96.5
Assabet Valley Regional Vocational Technical,08010000,         301,         264,  87.7
Athol-Royalston,06150000,          88,          59,  67.0
Atlantis Charter (District),04910000,          80,          55,  68.8
Attleboro,00160000,         497,         414,  83.3
Auburn,00170000,         175,         149,  85.1
Avon,00180000,          58,          41,  70.7
Ayer Shirley School District,06160000,          87,          70,  80.5
Barnstable,00200000,         341,         275,  80.6
Baystate Academy Charter Public School (District),35020000,          63,          48,  76.2
Bedford,00230000,         249,         239,  96.0
Belchertown,00240000,         171,         145,  84.8
Bellingham,00250000,         155,         133,  85.8
Belmont,00260000,         345,         338,  98.0
Berkshire Arts and Technology Charter Public (District),04140000,          58,          53,  91.4
Berkshire Hills,06180000,         151,         137,  90.7
Berlin-Boylston,06200000,          74,          69,  93.2
Beverly,00300000,         363,         295,  81.3
Billerica,00310000,         310,         265,  85.5
Blackstone Valley Regional Vocational Technical,08050000,         311,         282,  90.7
Blackstone-Millville,06220000,         121,         112,  92.6
Blue Hills Regional Vocational Technical,08060000,         236,         228,  96.6
Boston,00350000,"       4,036","       2,745",  68.0
Boston Collegiate Charter (District),04490000,          92,           3,   3.3
Boston Day and Evening Academy Charter (District),04240000,         123,         123, 100.0
Boston Green Academy Horace Mann Charter School (District),04110000,          80,          54,  67.5
Boston Preparatory Charter Public (District),04160000,          88,          66,  75.0
Bourne,00360000,         120,         108,  90.0
Braintree,00400000,         431,         379,  87.9
Bridgewater-Raynham,06250000,         352,         327,  92.9
Bristol County Agricultural,09100000,         117,         112,  95.7
Bristol-Plymouth Regional Vocational Technical,08100000,         355,         345,  97.2
Brockton,00440000,"       1,229",         628,  51.1
Brooke Charter School (District),04280000,          99,          76,  76.8
Brookline,00460000,         555,         512,  92.3
Burlington,00480000,         226,         210,  92.9
Cambridge,00490000,         528,         410,  77.7
Canton,00500000,         254,         237,  93.3
Cape Cod Regional Vocational Technical,08150000,         161,         139,  86.3
Carver,00520000,          76,          65,  85.5
Central Berkshire,06350000,         127,         111,  87.4
Chelmsford,00560000,         357,         347,  97.2
Chelsea,00570000,         420,         234,  55.7
Chicopee,00610000,         611,         365,  59.7
City on a Hill Charter Public School Circuit Street (District),04370000,          85,          25,  29.4
City on a Hill Charter Public School Dudley Square (District),35040000,          74,          29,  39.2
City on a Hill Charter Public School New Bedford (District),35070000,          69,          21,  30.4
Clinton,00640000,         112,          92,  82.1
Codman Academy Charter Public (District),04380000,          42,          30,  71.4
Cohasset,00650000,         110,         109,  99.1
Community Charter School of Cambridge (District),04360000,          60,          56,  93.3
Concord-Carlisle,06400000,         332,         316,  95.2
Danvers,00710000,         209,         188,  90.0
Dartmouth,00720000,         286,         235,  82.2
Dedham,00730000,         171,         142,  83.0
Dennis-Yarmouth,06450000,         191,         129,  67.5
Dighton-Rehoboth,06500000,         204,         170,  83.3
Douglas,00770000,          97,          87,  89.7
Dover-Sherborn,06550000,         178,         178, 100.0
Dracut,00790000,         242,         198,  81.8
Dudley-Charlton Reg,06580000,         282,         236,  83.7
