District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Abby Kelley Foster Charter Public (District),04450000,        84,    97.6,     0.0,     0.0,     0.0,     2.4,     0.0
Abington,00010000,       122,    89.3,     3.3,     0.8,     0.0,     6.6,     0.0
Academy Of the Pacific Rim Charter Public (District),04120000,        40,    95.0,     5.0,     0.0,     0.0,     0.0,     0.0
Acton-Boxborough,06000000,       503,    96.6,     2.4,     0.0,     0.2,     0.8,     0.0
Adams-Cheshire,06030000,        88,    89.8,     2.3,     1.1,     2.3,     4.5,     0.0
Advanced Math and Science Academy Charter (District),04300000,       119,    98.3,     0.0,     0.0,     0.0,     1.7,     0.0
Agawam,00050000,       291,    90.0,     1.4,     1.7,     0.7,     6.2,     0.0
Amesbury,00070000,       152,    87.5,     6.6,     0.0,     0.0,     5.9,     0.0
Amherst-Pelham,06050000,       227,    88.5,     7.0,     0.0,     0.4,     4.0,     0.0
Andover,00090000,       452,    96.7,     2.2,     0.2,     0.2,     0.7,     0.0
Arlington,00100000,       360,    95.8,     2.5,     0.0,     0.3,     1.4,     0.0
Ashburnham-Westminster,06100000,       162,    95.1,     1.9,     0.0,     0.6,     2.5,     0.0
Ashland,00140000,       194,    92.8,     3.6,     0.5,     0.0,     3.1,     0.0
Assabet Valley Regional Vocational Technical,08010000,       266,    99.6,     0.4,     0.0,     0.0,     0.0,     0.0
Athol-Royalston,06150000,        83,    78.3,     8.4,     0.0,     3.6,     9.6,     0.0
Atlantis Charter (District),04910000,        63,    96.8,     1.6,     0.0,     0.0,     0.0,     1.6
Attleboro,00160000,       441,    88.2,     5.4,     0.2,     0.0,     6.1,     0.0
Auburn,00170000,       199,    93.0,     3.5,     0.0,     0.0,     3.5,     0.0
Avon,00180000,        51,    92.2,     0.0,     5.9,     2.0,     0.0,     0.0
Ayer Shirley School District,06160000,       115,    87.0,     7.0,     0.0,     0.9,     5.2,     0.0
Barnstable,00200000,       389,    89.2,     6.4,     1.3,     0.5,     2.6,     0.0
Baystate Academy Charter Public School (District),35020000,        58,    81.0,     6.9,     0.0,     0.0,    12.1,     0.0
Bedford,00230000,       206,    96.1,     1.5,     0.5,     0.0,     1.9,     0.0
Belchertown,00240000,       179,    95.5,     2.2,     0.0,     0.0,     2.2,     0.0
Bellingham,00250000,       156,    92.9,     4.5,     0.6,     0.0,     1.3,     0.6
Belmont,00260000,       308,    97.1,     2.3,     0.0,     0.0,     0.6,     0.0
Berkshire Arts and Technology Charter Public (District),04140000,        29,    93.1,     0.0,     0.0,     0.0,     6.9,     0.0
Berkshire Hills,06180000,       135,    94.1,     3.0,     0.0,     0.7,     2.2,     0.0
Berlin-Boylston,06200000,        81,    98.8,     0.0,     1.2,     0.0,     0.0,     0.0
Beverly,00300000,       293,    90.8,     4.8,     0.3,     0.7,     3.4,     0.0
Billerica,00310000,       285,    90.9,     4.6,     0.4,     0.7,     3.5,     0.0
Blackstone Valley Regional Vocational Technical,08050000,       306,    98.4,     0.7,     0.0,     0.3,     0.7,     0.0
Blackstone-Millville,06220000,       114,    89.5,     7.9,     0.0,     0.0,     2.6,     0.0
