District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,      71,520,,494
Abington,00010000,      66,533,,539
Acton-Boxborough,06000000,     178,656,,686
Advanced Math and Science Academy Charter (District),04300000,     106,625,,667
Agawam,00050000,      82,558,,561
Amesbury,00070000,      80,572,,574
Amherst-Pelham,06050000,     129,617,,618
Andover,00090000,     399,604,,624
Arlington,00100000,     159,610,,608
Ashburnham-Westminster,06100000,      70,567,,564
Ashland,00140000,      96,570,,607
Assabet Valley Regional Vocational Technical,08010000,      47,506,,507
Athol-Royalston,06150000,      26,507,,491
Atlantis Charter (District),04910000,      37,504,,499
Attleboro,00160000,     211,549,,542
Auburn,00170000,      92,564,,547
Avon,00180000,      32,519,,510
Ayer Shirley School District,06160000,      56,560,,552
Barnstable,00200000,     204,557,,551
Baystate Academy Charter Public School (District),35020000,      27,437,,447
Bedford,00230000,      85,609,,617
Belchertown,00240000,      73,567,,562
Bellingham,00250000,      74,544,,539
Belmont,00260000,     241,622,,641
Berkshire Arts and Technology Charter Public (District),04140000,      11,585,,586
Berkshire Hills,06180000,      45,579,,556
Berlin-Boylston,06200000,      33,576,,588
Beverly,00300000,     143,575,,568
Billerica,00310000,     206,555,,569
Blackstone Valley Regional Vocational Technical,08050000,     153,578,,564
Blackstone-Millville,06220000,      34,544,,541
Blue Hills Regional Vocational Technical,08060000,      61,502,,480
Boston,00350000,"   1,733",508,,522
Boston Collegiate Charter (District),04490000,      27,534,,547
Boston Day and Evening Academy Charter (District),04240000,      18,497,,495
Boston Green Academy Horace Mann Charter School (District),04110000,      23,457,,454
Boston Preparatory Charter Public (District),04160000,      73,476,,506
Bourne,00360000,     114,534,,519
Braintree,00400000,     249,569,,592
Bridgewater-Raynham,06250000,     170,555,,563
Bristol County Agricultural,09100000,      25,521,,542
Bristol-Plymouth Regional Vocational Technical,08100000,      88,521,,508
Brockton,00440000,     356,490,,479
Brooke Charter School (District),04280000,       6,,,
Brookline,00460000,     231,606,,624
Burlington,00480000,     127,559,,556
Cambridge,00490000,     325,561,,560
Canton,00500000,     132,571,,572
Cape Cod Regional Vocational Technical,08150000,      25,486,,481
Carver,00520000,      47,552,,557
Central Berkshire,06350000,      33,513,,530
Chelmsford,00560000,     216,583,,599
Chelsea,00570000,      87,476,,466
Chicopee,00610000,     172,539,,541
City on a Hill Charter Public School Circuit Street (District),04370000,      22,473,,487
City on a Hill Charter Public School Dudley Square (District),35040000,      33,419,,457
Clinton,00640000,      43,513,,489
Codman Academy Charter Public (District),04380000,      24,431,,469
Cohasset,00650000,      97,594,,584
Community Charter School of Cambridge (District),04360000,      16,539,,546
Concord-Carlisle,06400000,     132,633,,647
Danvers,00710000,     108,556,,550
Dartmouth,00720000,     145,558,,554
Dedham,00730000,     111,536,,549
Dennis-Yarmouth,06450000,     103,531,,511
Dighton-Rehoboth,06500000,      79,556,,540
Douglas,00770000,      31,555,,517
Dover-Sherborn,06550000,      90,634,,651
Dracut,00790000,      79,540,,545
Dudley-Charlton Reg,06580000,     117,546,,547
Duxbury,00820000,     229,586,,578
East Bridgewater,00830000,      87,534,,512
East Longmeadow,00870000,      87,561,,560
Easthampton,00860000,      46,552,,528
Easton,00880000,     150,562,,552
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      56,439,,430
