District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),04450000,     117.2,  93.1,  12.2 to 1,,,
Abington,00010000,     126.2,  99.7,  17.0 to 1,,,
Academy Of the Pacific Rim Charter Public (District),04120000,      46.8,  70.1,  11.3 to 1,,,
Acton-Boxborough,06000000,     383.6, 100.0,  14.1 to 1,,,
Acushnet,00030000,      70.5, 100.0,  14.3 to 1,,,
Advanced Math and Science Academy Charter (District),04300000,      80.0,  89.2,  12.0 to 1,,,
Agawam,00050000,     307.1, 100.0,  12.0 to 1,,,
Alma del Mar Charter School (District),04090000,      52.0,  57.7,  12.6 to 1,,,
Amesbury,00070000,     166.2,  98.8,  12.1 to 1,,,
Amherst,00080000,     120.3,  97.5,   9.1 to 1,,,
Amherst-Pelham,06050000,     112.5,  98.2,  12.0 to 1,,,
Andover,00090000,     479.3, 100.0,  12.2 to 1,,,
Argosy Collegiate Charter School (District),35090000,      39.3,  63.6,  13.4 to 1,,,
Arlington,00100000,     438.6,  99.4,  13.8 to 1,,,
Ashburnham-Westminster,06100000,     162.6,  98.8,  14.5 to 1,,,
Ashland,00140000,     202.4, 100.0,  14.1 to 1,,,
Assabet Valley Regional Vocational Technical,08010000,     110.5,  96.4,  10.3 to 1,,,
Athol-Royalston,06150000,     111.4,  97.3,  13.6 to 1,,,
Atlantis Charter (District),04910000,     103.6,  70.1,  12.6 to 1,,,
Attleboro,00160000,     383.9,  99.2,  15.6 to 1,,,
Auburn,00170000,     185.7, 100.0,  14.2 to 1,,,
Avon,00180000,      68.2, 100.0,  10.6 to 1,,,
Ayer Shirley School District,06160000,     133.2,  99.1,  12.6 to 1,,,
Barnstable,00200000,     392.6,  99.4,  12.8 to 1,,,
Baystate Academy Charter Public School (District),35020000,      53.8,  68.4,   8.6 to 1,,,
Bedford,00230000,     237.5,  98.5,  11.3 to 1,,,
Belchertown,00240000,     168.8,  99.2,  13.3 to 1,,,
Bellingham,00250000,     161.8,  99.7,  13.2 to 1,,,
Belmont,00260000,     285.0, 100.0,  16.5 to 1,,,
Benjamin Banneker Charter Public (District),04200000,      19.0,  94.7,  17.7 to 1,,,
Benjamin Franklin Classical Charter Public (District),04470000,      56.0,  85.7,  12.6 to 1,,,
Bentley Academy Charter School (District),35110000,      24.7, 100.0,  13.5 to 1,,,
Berkley,00270000,      62.8, 100.0,  14.6 to 1,,,
Berkshire Arts and Technology Charter Public (District),04140000,      36.8,  51.9,  10.1 to 1,,,
Berkshire Hills,06180000,     113.8,  99.1,  10.4 to 1,,,
Berlin-Boylston,06200000,      89.0, 100.0,  11.8 to 1,,,
Beverly,00300000,     335.8,  99.2,  14.0 to 1,,,
Billerica,00310000,     370.5, 100.0,  12.9 to 1,,,
Blackstone Valley Regional Vocational Technical,08050000,     100.3,  98.0,  12.2 to 1,,,
Blackstone-Millville,06220000,     116.5, 100.0,  14.1 to 1,,,
Blue Hills Regional Vocational Technical,08060000,      81.0, 100.0,  10.6 to 1,,,
Boston,00350000,"   4,406.4",  94.3,  11.5 to 1,,,
